name;lastupdate;totalcapacity;availablecapacity;occupation;type;description;id;openingtimesdescription;isopennow;temporaryclosed;operatorinformation;freeparking;urllinkaddress;occupancytrend;locationanddimension;location;text;categorie;dashboard
Savaanstraat;2026-02-10T23:25:35+01:00;510;404;20;carPark;Ondergrondse parkeergarage Savaanstraat in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-savaanstraat;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-savaanstraat;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""Savaanstraat 13\n9000 Gent"", ""contactDetailsTelephoneNumber"": ""Tel.: 09 266 29 40"", ""coordinatesForDisplay"": {""latitude"": 51.04877362543108, ""longitude"": 3.7234627726667133}}";51.04877362543108, 3.7234627726667133;;parking in LEZ;True
Sint-Pietersplein;2026-02-10T23:25:35+01:00;678;465;31;carPark;? parkeergarage Sint-Pietersplein in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-sint-pietersplein;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-sint-pietersplein;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""Sint-Pietersplein 65\n9000 Gent"", ""contactDetailsTelephoneNumber"": ""Tel.: 09 266 29 60"", ""coordinatesForDisplay"": {""latitude"": 51.04202834988112, ""longitude"": 3.7259818626205483}}";51.04202834988112, 3.7259818626205483;;parking in LEZ;True
Ramen;2026-02-10T23:25:34+01:00;259;190;26;carPark;Ondergrondse parkeergarage Ramen in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-ramen;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-ramen;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""23"", ""roadName"": ""Ramen 23\n9000 Gent"", ""contactDetailsTelephoneNumber"": ""Tel.: 09 266 29 70"", ""coordinatesForDisplay"": {""latitude"": 51.05532, ""longitude"": 3.71653}}";51.05532, 3.71653;;parking in LEZ;True
Ledeberg;2026-02-10T23:25:35+01:00;490;297;39;offStreetParkingGround;Bovengrondse parkeergarage Ledeberg in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-ledeberg;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-ledeberg;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.03634169048174, ""longitude"": 3.738571094371151}}";51.03634169048174, 3.738571094371151;;parking buiten LEZ;True
Getouw;2026-02-10T23:25:35+01:00;350;339;3;offStreetParkingGround;Bovengrondse parkeergarage Het Getouw in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-het-getouw;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-het-getouw;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.072569883800206, ""longitude"": 3.7148313576713052}}";51.072569883800206, 3.7148313576713052;;parking buiten LEZ;True
Sint-Michiels;2026-02-10T23:25:35+01:00;452;349;22;carPark;Ondergrondse parkeergarage Sint-Michiels in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-sint-michiels;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-sint-michiels;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""Sint-Michielsplein 8\n9000 Gent"", ""contactDetailsTelephoneNumber"": ""Tel.: 09 266 29 20"", ""coordinatesForDisplay"": {""latitude"": 51.05311004768356, ""longitude"": 3.719727740000235}}";51.05311004768356, 3.719727740000235;;parking in LEZ;True
Reep;2026-02-10T23:25:35+01:00;458;343;25;carPark;? parkeergarage Reep in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-reep;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-reep;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""Seminariestraat 9\n9000 Gent"", ""contactDetailsTelephoneNumber"": ""Tel.: 09 266 29 50"", ""coordinatesForDisplay"": {""latitude"": 51.05215838523151, ""longitude"": 3.7298928896398924}}";51.05215838523151, 3.7298928896398924;;parking in LEZ;True
The Loop;2026-02-10T23:25:18+01:00;2490;2489;0;offStreetParkingGround;Bovengrondse parkeergarage The Loop in Gent;https://stad.gent/nl/loop/mobiliteit-loop#Parkeerterreinen_Stad_Gent;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/loop/mobiliteit-loop#Parkeerterreinen_Stad_Gent;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.02542334883013, ""longitude"": 3.6864592214319964}}";51.02542334883013, 3.6864592214319964;;parking buiten LEZ;False
B-Park Dampoort;2026-02-10T23:23:33+01:00;60;54;10;offStreetParkingGround;Bovengrondse parkeergarage NMBS Dampoort in Gent;https://www.belgiantrain.be/nl/station-information/car-or-bike-at-station/b-parking/my-b-parking/gent-dampoort;24/7;1;0;Skidata;0;https://www.belgiantrain.be/nl/station-information/car-or-bike-at-station/b-parking/my-b-parking/gent-dampoort;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.0561, ""longitude"": 3.73956}}";51.0561, 3.73956;;parking buiten LEZ;False
Vrijdagmarkt;2026-02-10T23:25:02+01:00;595;424;28;carPark;Ondergrondse parkeergarage Vrijdagmarkt in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-vrijdagmarkt;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-vrijdagmarkt;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""Vrijdagmarkt 1\n9000 Gent"", ""contactDetailsTelephoneNumber"": ""Tel.: 09 266 29 00\n(permanentie)\nTel.: 09 266 29 01\n(tijdens kantooruren)"", ""coordinatesForDisplay"": {""latitude"": 51.05713405953412, ""longitude"": 3.726071777876147}}";51.05713405953412, 3.726071777876147;;parking in LEZ;True
Tolhuis;2026-02-10T23:25:35+01:00;155;86;44;offStreetParkingGround;Ondergrondse parkeergarage Tolhuis in Gent;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-tolhuis;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/parkings-gent/parking-tolhuis;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.0637023559265, ""longitude"": 3.724968367281895}}";51.0637023559265, 3.724968367281895;;parking in LEZ;True
B-Park Gent Sint-Pieters;2026-02-10T23:13:50+01:00;1000;957;4;carPark;Ondergrondse parkeergarage NMBS Gent-Sint-Pieters in Gent;https://www.belgiantrain.be/nl/station-information/car-or-bike-at-station/b-parking/my-b-parking/gentstpieters;24/7;1;0;Mobiliteitsbedrijf Gent;0;https://www.belgiantrain.be/nl/station-information/car-or-bike-at-station/b-parking/my-b-parking/gentstpieters;unknown;"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.0369, ""longitude"": 3.70502}}";51.0369, 3.70502;;parking buiten LEZ;True
Dok noord;2026-02-10T23:25:22+01:00;550;432;21;offStreetParkingGround;Ondergrondse parkeergarage Dok noord in Gent;https://be.parkindigo.com/nl/car-park/parking-dok-noord;24/7;1;0;Indigo;0;https://be.parkindigo.com/nl/car-park/parking-dok-noord;unknown;
"{""specificAccessInformation"": [""inrit""], ""level"": ""0"", ""roadNumber"": ""?"", ""roadName"": ""?"", ""coordinatesForDisplay"": {""latitude"": 51.065684935819604, ""longitude"": 3.7328389913720565}}";51.065684935819604, 3.7328389913720565;Opgelet! Enkel ingang B ligt buiten LEZ.;parking buiten LEZ;True
